package,out_degree,in_degree
edu.stanford.cs.exp,0,11
edu.stanford.cs.java2js,0,10
edu.stanford.cs.svm,7,9
edu.stanford.cs.tokenscanner,0,5
edu.stanford.cs.controller,1,4
edu.stanford.cs.sjs,14,3
edu.stanford.cs.jsconsole,1,3
edu.stanford.cs.sjslib,0,3
edu.stanford.cs.parser,3,2
edu.stanford.cs.utf8,0,2
edu.stanford.cs.graphics,0,2
edu.stanford.cs.jscontrols,2,1
edu.stanford.cs.programeditor,2,1
edu.stanford.cs.svmtools,2,1
edu.stanford.cs.jseditor,1,1
edu.stanford.cs.jsmenu,1,1
edu.stanford.cs.file,0,1
edu.stanford.cs.shellargs,0,1
edu.stanford.cs.english,0,1
edu.stanford.cs.unittest,0,1
edu.stanford.cs.random,0,1
edu.stanford.cs.sjslib.graphics,6,0
edu.stanford.cs.sjslib.core,5,0
edu.stanford.cs.sjslib.file,4,0
edu.stanford.cs.sjslib.util,4,0
edu.stanford.cs.sjslib.english,3,0
edu.stanford.cs.sjslib.tokenscanner,3,0
edu.stanford.cs.sjslib.unittest,3,0
edu.stanford.cs.sjslib.stub,2,0
